% Blk Total Students,% Hisp Total Students, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans, % Full-Time , UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
12,6,31524,17,67,25.5,77,85,22,73,9,913203418,38006,217160961,308224959,19,26,45,416717253,281154,23,1451,5,29067,6441,1104694912,1164446959,14233,281154,965,1338,30,88,26156,5368,27838,3686,1356,3641,4707,1130,331,23,28,18075,506467351,17424,506467351,17424,1282,965
4,5,32663,22,83,26.5,73,94,15,75,7,1046798126,41580,242830896,411207016,18,30,48,842991159,504282,14,1745,7,30759,8204,1278963580,1352244962,26949,504282,1424,1809,42,91,25384,7279,29807,2856,637,5245,6134,1428,488,24,29,21263,788800000,25645,788800000,25645,1731,1419
7,4,29727,24,63,25,89,83,26,69,12,1288801010,94760,279611300,302936441,9,10,20,1096112000,331705,17,2134,12,27872,6572,2641130361,2954536247,38024,204321,1526,1836,45,91,22705,7022,26944,2783,1659,4553,4504,1260,295,22,28,20901,1215225687,43601,1215225687,43601,1686,1477
19,2,20873,17,60,25,65,82,32,77,5,557124295,33938,180278300,134396877,27,20,46,444485187,226359,19,1110,1,18873,4197,640511953,677923258,23809,226359,749,1007,49,86,17421,3452,17873,3000,1659,2596,3211,760,146,21,29,16673,456609736,24194,456609736,24194,956,748
7,3,35424,22,69,26.5,78,87,21,72,9,889922805,65026,224562005,343506166,10,15,26,869565594,246684,20,2664,6,32468,8347,2111260516,2216331274,28357,222677,990,2130,46,87,27791,7633,30990,4434,940,5309,5995,1571,435,24,29,17496,806717048,24847,806717048,24847,1848,973
11,4,37098,14,67,26.5,54,86,19,74,6,735249498,27602,146222914,452717202,14,45,59,798438258,58234,24,1867,4,33706,8390,930367041,1008832367,22735,58234,897,1508,41,86,31958,5140,32010,5088,2590,3556,6195,1672,264,22,31,17770,667980131,19818,667980131,19818,1328,895
5,7,26754,17,62,25.5,60,82,21,75,5,629994729,33107,205745146,189315846,25,23,47,898907868,133660,19,1333,5,23195,5997,767906927,834487120,37010,133660,790,1210,40,80,22159,4595,21415,5339,2132,3346,4482,1208,173,23,28,17032,929693370,40082,929693370,40082,1149,785
13,3,23212,19,61,24.5,79,87,23,71,10,715423161,83424,281850140,228280647,14,12,26,600000000,94040,18,2162,1,21514,5137,1794778831,1978118684,27120,59502,983,1913,44,89,18785,4427,20665,2547,1608,2924,3659,945,118,21,28,23712,666670997,30988,666670997,30988,1789,976
10,4,33724,25,72,26.5,65,87,18,72,9,807992014,31428,117338183,381810874,11,37,48,655469462,208736,19,2285,8,30869,8588,970136051,1043044592,14820,196536,1000,1722,48,87,25237,8487,29441,4283,1482,5929,6210,1623,358,24,29,16170,484082093,15682,484082093,15682,1440,944
8,17,40830,20,79,27,56,93,24,75,6,889846982,29414,361291258,251879420,32,22,54,584528857,256449,25,1932,2,37029,12751,1089192745,1128649111,15817,246589,1080,1635,46,86,32706,8124,35129,5701,1967,5438,9604,2153,424,25,29,16559,624556561,16867,624556561,16867,1486,1067
5,8,27428,22,66,26.5,78,86,21,67,6,680320000,38989,147149000,278121000,16,30,47,1521000000,242367,18,1447,3,23227,6358,905616000,912800000,60019,150026,949,1276,35,77,21297,6131,21127,6301,2607,4738,4279,1713,218,24,29,18309,965937000,41586,965937000,41586,1191,948
3,5,25260,20,67,25,76,83,25,75,9,754702649,44368,272388353,202702615,25,19,44,1475090000,284438,21,1349,9,22727,5359,1008342236,1084103910,33593,284438,1027,1276,40,85,20182,5078,21460,3800,1117,3696,4029,860,325,22,28,20905,203672175,8962,203672175,8962,1239,1011
6,7,22852,16,79,26.5,67,92,15,75,5,790194000,42355,117005000,406304000,12,43,55,1261782826,175724,16,1162,6,21325,5990,903231000,953442000,60844,175724,842,1133,52,90,19100,3752,20562,2290,784,2508,4500,891,237,24,29,24539,1541078493,44219,312293000,14644,1119,839
2,10,30614,22,67,25,81,87,21,71,5,838968977,38250,2355000,363593739,0,36,37,425200000,317219,18,1907,8,26149,7361,1000200336,1000011256,16260,317219,1094,1700,45,78,23917,6697,23917,6697,1314,4863,5229,1755,251,22,28,13995,297089069,11361,297089069,11361,1301,995
4,6,27259,29,61,25,93,80,24,63,15,994983111,48842,244734520,289104231,19,23,42,1475157887,311383,16,2590,8,24450,6502,1194203648,1265256171,65137,192766,1313,2309,45,85,19245,8014,23046,4213,1869,5791,4082,1467,390,22,28,21834,1494880664,61139,1494880664,61139,2169,1287
4,17,51984,20,66,25.5,83,86,28,70,6,1796600000,42248,338042000,1021014000,16,48,64,612589550,458412,23,2103,9,47932,13022,2025050000,2117290000,6903,458412,1365,1991,43,88,41828,10156,45906,6078,5149,6836,9075,3196,528,23,28,28354,625833000,13057,625833000,13057,1935,1329
6,6,25034,40,85,31.5,32,97,13,58,9,1335978966,67217,227216008,318573215,15,20,35,1843763800,765370,19,1072,15,21372,5682,1436558192,1563387433,82918,765370,939,1133,31,78,15142,9892,19541,5493,647,6880,3274,1882,526,29,34,25538,1889014000,88387,1889014000,88387,1031,923
4,5,29269,22,78,27,58,91,21,77,4,824901602,41912,298423000,341462000,26,30,57,287212784,213902,18,1635,12,25316,7838,1061031000,1132525000,11225,213902,1054,1426,59,80,22748,6521,23339,5930,1754,5281,6069,1418,268,25,29,25276,307098028,12131,307098028,12131,1321,1051
2,10,33056,18,71,27,80,86,16,76,8,1054279692,43647,197543100,539664752,14,40,54,1062663825,420775,18,2151,19,29348,7682,1280963589,1365034609,19603,420775,1086,1688,31,83,27142,5914,27494,5562,1749,4228,5851,1225,434,24,30,25120,1541078493,44219,528800000,18018,1457,1080
2,9,24032,15,71,24,74,88,24,81,5,602894543,38081,55861601,368096326,6,42,49,706973000,79698,19,1558,7,22441,6327,854592766,871529643,31375,79698,732,1222,38,90,20538,3494,21646,2386,1648,2608,5110,897,199,21,27,18892,659671118,29395,659671118,29395,1054,711
6,9,25272,33,68,28,41,90,32,64,9,983256325,103451,455214819,216565759,20,10,30,262190973,220580,17,2405,11,22457,6828,2323244463,2241079986,11691,124600,1084,1910,44,83,16831,8441,21050,4222,1350,5818,4363,1865,347,25,31,29914,196350990,8743,196350990,8743,1663,1010
2,22,30836,18,88,25.5,39,93,43,77,7,1422918406,83452,260685000,446990000,10,17,28,498171336,329798,19,2148,15,30313,8767,2529696000,2562418000,15956,198226,1170,1868,42,97,25256,5580,30052,784,1110,3829,6763,1412,390,22,29,23345,310163000,10232,310163000,10232,1723,1159
1,14,32906,19,87,30,34,95,33,76,9,2476828384,124089,311133000,500926000,7,11,18,1176581371,1101466,19,2607,35,32239,7724,4000535000,4442592000,35383,561519,1248,2273,39,97,26590,6316,31906,1000,1506,4043,5884,1156,505,27,33,25188,534912000,16592,534912000,16592,2075,1226
5,8,27043,30,83,27.5,53,92,19,69,9,1344117519,89352,631344030,324520586,25,13,38,377170484,259397,17,2032,8,24826,8216,2218286038,2512327247,13088,165959,1298,1864,50,88,18826,8217,23718,3325,579,5529,5692,1744,339,25,30,38502,367014863,14783,367014863,14783,1896,1290
3,6,30844,24,72,25.5,81,85,21,71,12,1213507000,108223,242855000,384359000,8,12,20,1269775800,443218,15,2685,12,26695,7649,2888984000,3158401000,45111,208523,1497,2442,44,80,23357,7487,24620,6224,1879,5303,5419,1287,453,23,28,23496,1251356000,46877,1251356000,46877,2320,1391
6,5,29796,33,74,25.5,60,88,31,58,12,946384957,39259,413094614,251923446,41,25,66,600960825,382935,13,2348,13,26496,8520,1040215629,1004776566,22688,193651,1149,1847,47,83,19953,9843,24846,4950,1494,6069,4983,2509,342,23,28,25099,624790675,23581,624790675,23581,1597,1128
1,10,31592,25,64,24.5,81,89,27,66,10,1723572000,144701,287929000,304008000,7,8,15,957990,518928,16,1723,13,25818,7961,3735900000,3988353000,41,298410,1144,1716,34,73,23794,7798,22931,8661,6355,6295,5246,1948,384,21,28,22927,723827000,28036,723827000,28036,1712,1141
4,33,21385,13,73,24,56,91,52,86,5,671223441,37916,219025000,275070000,25,32,57,191420248,144511,19,1007,9,21076,5522,799111000,872159000,8934,138775,689,899,54,98,18607,2778,20921,464,925,1904,4729,521,272,21,27,23444,136003000,6453,136003000,6453,844,682
4,23,42595,22,61,24,76,80,28,73,10,1575255000,47870,294475000,554768000,14,27,42,754401000,606219,22,2425,12,38603,9717,1847924000,2042135000,17724,434135,1549,2026,41,86,33331,9264,36607,5988,2657,7152,7076,1702,528,24,30,21999,760679000,19705,760679000,19705,1820,1449
